name,address,phone,location,price,cuisine,rating
resto_bombay_moderate_french_4stars,resto_bombay_moderate_french_4stars_address,resto_bombay_moderate_french_4stars_phone,bombay,moderate,french,4stars
resto_hanoi_cheap_thai_6stars,resto_hanoi_cheap_thai_6stars_address,resto_hanoi_cheap_thai_6stars_phone,hanoi,cheap,thai,6stars
resto_hanoi_cheap_japanese_1stars,resto_hanoi_cheap_japanese_1stars_address,resto_hanoi_cheap_japanese_1stars_phone,hanoi,cheap,japanese,1stars
resto_madrid_moderate_french_7stars,resto_madrid_moderate_french_7stars_address,resto_madrid_moderate_french_7stars_phone,madrid,moderate,french,7stars
resto_paris_expensive_italian_8stars,resto_paris_expensive_italian_8stars_address,resto_paris_expensive_italian_8stars_phone,paris,expensive,italian,8stars
resto_beijing_moderate_thai_3stars,resto_beijing_moderate_thai_3stars_address,resto_beijing_moderate_thai_3stars_phone,beijing,moderate,thai,3stars
resto_tokyo_moderate_japanese_8stars,resto_tokyo_moderate_japanese_8stars_address,resto_tokyo_moderate_japanese_8stars_phone,tokyo,moderate,japanese,8stars
resto_seoul_cheap_thai_6stars,resto_seoul_cheap_thai_6stars_address,resto_seoul_cheap_thai_6stars_phone,seoul,cheap,thai,6stars
resto_seoul_moderate_korean_4stars,resto_seoul_moderate_korean_4stars_address,resto_seoul_moderate_korean_4stars_phone,seoul,moderate,korean,4stars
resto_hanoi_moderate_japanese_2stars,resto_hanoi_moderate_japanese_2stars_address,resto_hanoi_moderate_japanese_2stars_phone,hanoi,moderate,japanese,2stars
resto_hanoi_moderate_thai_5stars,resto_hanoi_moderate_thai_5stars_address,resto_hanoi_moderate_thai_5stars_phone,hanoi,moderate,thai,5stars
resto_paris_moderate_british_4stars,resto_paris_moderate_british_4stars_address,resto_paris_moderate_british_4stars_phone,paris,moderate,british,4stars
resto_rome_moderate_italian_4stars,resto_rome_moderate_italian_4stars_address,resto_rome_moderate_italian_4stars_phone,rome,moderate,italian,4stars
resto_seoul_expensive_japanese_2stars,resto_seoul_expensive_japanese_2stars_address,resto_seoul_expensive_japanese_2stars_phone,seoul,expensive,japanese,2stars
resto_paris_cheap_spanish_7stars,resto_paris_cheap_spanish_7stars_address,resto_paris_cheap_spanish_7stars_phone,paris,cheap,spanish,7stars
resto_seoul_expensive_cantonese_1stars,resto_seoul_expensive_cantonese_1stars_address,resto_seoul_expensive_cantonese_1stars_phone,seoul,expensive,cantonese,1stars
resto_paris_expensive_spanish_7stars,resto_paris_expensive_spanish_7stars_address,resto_paris_expensive_spanish_7stars_phone,paris,expensive,spanish,7stars
resto_bangkok_cheap_cantonese_4stars,resto_bangkok_cheap_cantonese_4stars_address,resto_bangkok_cheap_cantonese_4stars_phone,bangkok,cheap,cantonese,4stars
resto_madrid_expensive_french_7stars,resto_madrid_expensive_french_7stars_address,resto_madrid_expensive_french_7stars_phone,madrid,expensive,french,7stars
resto_london_moderate_spanish_5stars,resto_london_moderate_spanish_5stars_address,resto_london_moderate_spanish_5stars_phone,london,moderate,spanish,5stars
resto_paris_cheap_spanish_5stars,resto_paris_cheap_spanish_5stars_address,resto_paris_cheap_spanish_5stars_phone,paris,cheap,spanish,5stars
resto_madrid_cheap_indian_1stars,resto_madrid_cheap_indian_1stars_address,resto_madrid_cheap_indian_1stars_phone,madrid,cheap,indian,1stars
resto_beijing_moderate_vietnamese_1stars,resto_beijing_moderate_vietnamese_1stars_address,resto_beijing_moderate_vietnamese_1stars_phone,beijing,moderate,vietnamese,1stars
resto_beijing_expensive_japanese_3stars,resto_beijing_expensive_japanese_3stars_address,resto_beijing_expensive_japanese_3stars_phone,beijing,expensive,japanese,3stars
resto_paris_moderate_french_5stars,resto_paris_moderate_french_5stars_address,resto_paris_moderate_french_5stars_phone,paris,moderate,french,5stars
resto_tokyo_moderate_korean_6stars,resto_tokyo_moderate_korean_6stars_address,resto_tokyo_moderate_korean_6stars_phone,tokyo,moderate,korean,6stars
resto_hanoi_expensive_thai_5stars,resto_hanoi_expensive_thai_5stars_address,resto_hanoi_expensive_thai_5stars_phone,hanoi,expensive,thai,5stars
resto_tokyo_expensive_thai_4stars,resto_tokyo_expensive_thai_4stars_address,resto_tokyo_expensive_thai_4stars_phone,tokyo,expensive,thai,4stars
resto_bangkok_cheap_korean_5stars,resto_bangkok_cheap_korean_5stars_address,resto_bangkok_cheap_korean_5stars_phone,bangkok,cheap,korean,5stars
resto_seoul_moderate_thai_7stars,resto_seoul_moderate_thai_7stars_address,resto_seoul_moderate_thai_7stars_phone,seoul,moderate,thai,7stars
resto_hanoi_expensive_japanese_7stars,resto_hanoi_expensive_japanese_7stars_address,resto_hanoi_expensive_japanese_7stars_phone,hanoi,expensive,japanese,7stars
resto_paris_cheap_french_2stars,resto_paris_cheap_french_2stars_address,resto_paris_cheap_french_2stars_phone,paris,cheap,french,2stars
resto_bombay_cheap_british_8stars,resto_bombay_cheap_british_8stars_address,resto_bombay_cheap_british_8stars_phone,bombay,cheap,british,8stars
resto_madrid_moderate_italian_6stars,resto_madrid_moderate_italian_6stars_address,resto_madrid_moderate_italian_6stars_phone,madrid,moderate,italian,6stars
resto_london_expensive_italian_1stars,resto_london_expensive_italian_1stars_address,resto_london_expensive_italian_1stars_phone,london,expensive,italian,1stars
resto_beijing_moderate_cantonese_4stars,resto_beijing_moderate_cantonese_4stars_address,resto_beijing_moderate_cantonese_4stars_phone,beijing,moderate,cantonese,4stars
resto_paris_cheap_british_1stars,resto_paris_cheap_british_1stars_address,resto_paris_cheap_british_1stars_phone,paris,cheap,british,1stars
resto_madrid_moderate_spanish_4stars,resto_madrid_moderate_spanish_4stars_address,resto_madrid_moderate_spanish_4stars_phone,madrid,moderate,spanish,4stars
resto_bombay_expensive_french_7stars,resto_bombay_expensive_french_7stars_address,resto_bombay_expensive_french_7stars_phone,bombay,expensive,french,7stars
resto_bangkok_cheap_thai_2stars,resto_bangkok_cheap_thai_2stars_address,resto_bangkok_cheap_thai_2stars_phone,bangkok,cheap,thai,2stars
resto_bangkok_cheap_cantonese_6stars,resto_bangkok_cheap_cantonese_6stars_address,resto_bangkok_cheap_cantonese_6stars_phone,bangkok,cheap,cantonese,6stars
resto_bangkok_cheap_cantonese_1stars,resto_bangkok_cheap_cantonese_1stars_address,resto_bangkok_cheap_cantonese_1stars_phone,bangkok,cheap,cantonese,1stars
resto_hanoi_expensive_thai_1stars,resto_hanoi_expensive_thai_1stars_address,resto_hanoi_expensive_thai_1stars_phone,hanoi,expensive,thai,1stars
resto_rome_expensive_italian_4stars,resto_rome_expensive_italian_4stars_address,resto_rome_expensive_italian_4stars_phone,rome,expensive,italian,4stars
resto_seoul_moderate_vietnamese_3stars,resto_seoul_moderate_vietnamese_3stars_address,resto_seoul_moderate_vietnamese_3stars_phone,seoul,moderate,vietnamese,3stars
resto_madrid_cheap_italian_3stars,resto_madrid_cheap_italian_3stars_address,resto_madrid_cheap_italian_3stars_phone,madrid,cheap,italian,3stars
resto_rome_moderate_french_3stars,resto_rome_moderate_french_3stars_address,resto_rome_moderate_french_3stars_phone,rome,moderate,french,3stars
resto_bangkok_expensive_thai_1stars,resto_bangkok_expensive_thai_1stars_address,resto_bangkok_expensive_thai_1stars_phone,bangkok,expensive,thai,1stars
resto_bangkok_cheap_cantonese_7stars,resto_bangkok_cheap_cantonese_7stars_address,resto_bangkok_cheap_cantonese_7stars_phone,bangkok,cheap,cantonese,7stars
resto_madrid_expensive_spanish_3stars,resto_madrid_expensive_spanish_3stars_address,resto_madrid_expensive_spanish_3stars_phone,madrid,expensive,spanish,3stars
resto_tokyo_moderate_japanese_1stars,resto_tokyo_moderate_japanese_1stars_address,resto_tokyo_moderate_japanese_1stars_phone,tokyo,moderate,japanese,1stars
resto_london_expensive_spanish_4stars,resto_london_expensive_spanish_4stars_address,resto_london_expensive_spanish_4stars_phone,london,expensive,spanish,4stars
resto_paris_expensive_british_6stars,resto_paris_expensive_british_6stars_address,resto_paris_expensive_british_6stars_phone,paris,expensive,british,6stars
resto_bombay_expensive_italian_4stars,resto_bombay_expensive_italian_4stars_address,resto_bombay_expensive_italian_4stars_phone,bombay,expensive,italian,4stars
resto_bangkok_cheap_korean_7stars,resto_bangkok_cheap_korean_7stars_address,resto_bangkok_cheap_korean_7stars_phone,bangkok,cheap,korean,7stars
resto_tokyo_moderate_cantonese_4stars,resto_tokyo_moderate_cantonese_4stars_address,resto_tokyo_moderate_cantonese_4stars_phone,tokyo,moderate,cantonese,4stars
resto_london_expensive_french_8stars,resto_london_expensive_french_8stars_address,resto_london_expensive_french_8stars_phone,london,expensive,french,8stars
resto_bangkok_moderate_vietnamese_5stars,resto_bangkok_moderate_vietnamese_5stars_address,resto_bangkok_moderate_vietnamese_5stars_phone,bangkok,moderate,vietnamese,5stars
resto_beijing_cheap_korean_1stars,resto_beijing_cheap_korean_1stars_address,resto_beijing_cheap_korean_1stars_phone,beijing,cheap,korean,1stars
resto_bangkok_moderate_cantonese_5stars,resto_bangkok_moderate_cantonese_5stars_address,resto_bangkok_moderate_cantonese_5stars_phone,bangkok,moderate,cantonese,5stars
resto_bombay_expensive_spanish_1stars,resto_bombay_expensive_spanish_1stars_address,resto_bombay_expensive_spanish_1stars_phone,bombay,expensive,spanish,1stars
resto_bombay_moderate_british_3stars,resto_bombay_moderate_british_3stars_address,resto_bombay_moderate_british_3stars_phone,bombay,moderate,british,3stars
resto_rome_expensive_spanish_6stars,resto_rome_expensive_spanish_6stars_address,resto_rome_expensive_spanish_6stars_phone,rome,expensive,spanish,6stars
resto_rome_expensive_british_3stars,resto_rome_expensive_british_3stars_address,resto_rome_expensive_british_3stars_phone,rome,expensive,british,3stars
resto_seoul_cheap_japanese_2stars,resto_seoul_cheap_japanese_2stars_address,resto_seoul_cheap_japanese_2stars_phone,seoul,cheap,japanese,2stars
resto_bombay_cheap_italian_1stars,resto_bombay_cheap_italian_1stars_address,resto_bombay_cheap_italian_1stars_phone,bombay,cheap,italian,1stars
resto_hanoi_moderate_japanese_1stars,resto_hanoi_moderate_japanese_1stars_address,resto_hanoi_moderate_japanese_1stars_phone,hanoi,moderate,japanese,1stars
resto_bangkok_moderate_korean_5stars,resto_bangkok_moderate_korean_5stars_address,resto_bangkok_moderate_korean_5stars_phone,bangkok,moderate,korean,5stars
resto_seoul_moderate_japanese_6stars,resto_seoul_moderate_japanese_6stars_address,resto_seoul_moderate_japanese_6stars_phone,seoul,moderate,japanese,6stars
resto_madrid_expensive_french_4stars,resto_madrid_expensive_french_4stars_address,resto_madrid_expensive_french_4stars_phone,madrid,expensive,french,4stars
resto_rome_moderate_indian_7stars,resto_rome_moderate_indian_7stars_address,resto_rome_moderate_indian_7stars_phone,rome,moderate,indian,7stars
resto_paris_expensive_french_6stars,resto_paris_expensive_french_6stars_address,resto_paris_expensive_french_6stars_phone,paris,expensive,french,6stars
resto_rome_moderate_british_6stars,resto_rome_moderate_british_6stars_address,resto_rome_moderate_british_6stars_phone,rome,moderate,british,6stars
resto_seoul_expensive_vietnamese_4stars,resto_seoul_expensive_vietnamese_4stars_address,resto_seoul_expensive_vietnamese_4stars_phone,seoul,expensive,vietnamese,4stars
resto_bombay_moderate_indian_1stars,resto_bombay_moderate_indian_1stars_address,resto_bombay_moderate_indian_1stars_phone,bombay,moderate,indian,1stars
resto_hanoi_moderate_japanese_6stars,resto_hanoi_moderate_japanese_6stars_address,resto_hanoi_moderate_japanese_6stars_phone,hanoi,moderate,japanese,6stars
resto_madrid_cheap_indian_8stars,resto_madrid_cheap_indian_8stars_address,resto_madrid_cheap_indian_8stars_phone,madrid,cheap,indian,8stars
resto_bombay_expensive_indian_5stars,resto_bombay_expensive_indian_5stars_address,resto_bombay_expensive_indian_5stars_phone,bombay,expensive,indian,5stars
resto_rome_moderate_indian_8stars,resto_rome_moderate_indian_8stars_address,resto_rome_moderate_indian_8stars_phone,rome,moderate,indian,8stars
resto_seoul_cheap_thai_8stars,resto_seoul_cheap_thai_8stars_address,resto_seoul_cheap_thai_8stars_phone,seoul,cheap,thai,8stars
resto_bangkok_moderate_korean_4stars,resto_bangkok_moderate_korean_4stars_address,resto_bangkok_moderate_korean_4stars_phone,bangkok,moderate,korean,4stars
resto_london_expensive_british_3stars,resto_london_expensive_british_3stars_address,resto_london_expensive_british_3stars_phone,london,expensive,british,3stars
resto_tokyo_cheap_japanese_1stars,resto_tokyo_cheap_japanese_1stars_address,resto_tokyo_cheap_japanese_1stars_phone,tokyo,cheap,japanese,1stars
resto_london_moderate_spanish_3stars,resto_london_moderate_spanish_3stars_address,resto_london_moderate_spanish_3stars_phone,london,moderate,spanish,3stars
resto_paris_moderate_indian_5stars,resto_paris_moderate_indian_5stars_address,resto_paris_moderate_indian_5stars_phone,paris,moderate,indian,5stars
resto_beijing_moderate_japanese_5stars,resto_beijing_moderate_japanese_5stars_address,resto_beijing_moderate_japanese_5stars_phone,beijing,moderate,japanese,5stars
resto_london_expensive_italian_8stars,resto_london_expensive_italian_8stars_address,resto_london_expensive_italian_8stars_phone,london,expensive,italian,8stars
resto_madrid_moderate_french_8stars,resto_madrid_moderate_french_8stars_address,resto_madrid_moderate_french_8stars_phone,madrid,moderate,french,8stars
resto_rome_cheap_spanish_7stars,resto_rome_cheap_spanish_7stars_address,resto_rome_cheap_spanish_7stars_phone,rome,cheap,spanish,7stars
resto_bangkok_expensive_vietnamese_1stars,resto_bangkok_expensive_vietnamese_1stars_address,resto_bangkok_expensive_vietnamese_1stars_phone,bangkok,expensive,vietnamese,1stars
resto_london_cheap_spanish_7stars,resto_london_cheap_spanish_7stars_address,resto_london_cheap_spanish_7stars_phone,london,cheap,spanish,7stars
resto_madrid_cheap_british_2stars,resto_madrid_cheap_british_2stars_address,resto_madrid_cheap_british_2stars_phone,madrid,cheap,british,2stars
resto_london_expensive_french_1stars,resto_london_expensive_french_1stars_address,resto_london_expensive_french_1stars_phone,london,expensive,french,1stars
resto_beijing_expensive_vietnamese_7stars,resto_beijing_expensive_vietnamese_7stars_address,resto_beijing_expensive_vietnamese_7stars_phone,beijing,expensive,vietnamese,7stars
resto_bombay_expensive_italian_2stars,resto_bombay_expensive_italian_2stars_address,resto_bombay_expensive_italian_2stars_phone,bombay,expensive,italian,2stars
resto_london_cheap_spanish_1stars,resto_london_cheap_spanish_1stars_address,resto_london_cheap_spanish_1stars_phone,london,cheap,spanish,1stars
resto_rome_expensive_indian_2stars,resto_rome_expensive_indian_2stars_address,resto_rome_expensive_indian_2stars_phone,rome,expensive,indian,2stars
